,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
187,Music at CIT Cork School of Music,CR121,868,,8,Cork Institute of Technology
188,Popular Music: Electric Bass Guitar at CIT Cork School of Music,CR125,1088,,8,Cork Institute of Technology
189,Popular Music: Drums at CIT Cork School of Music,CR126,801,,8,Cork Institute of Technology
190,Popular Music: Electric Guitar at CIT Cork School of Music,CR127,838,768,8,Cork Institute of Technology
191,Popular Music: Keyboards at CIT Cork School of Music,CR128,840,,8,Cork Institute of Technology
192,Popular Music: Voice at CIT Cork School of Music,CR129,841,,8,Cork Institute of Technology
193,Musical Theatre at CIT Cork School of Music,CR130,548,518,8,Cork Institute of Technology
194,Business Information Systems,CR150,335,,8,Cork Institute of Technology
195,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",CR210,#+matric,,8,Cork Institute of Technology
196,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,,8,Cork Institute of Technology
197,Photography with New Media,CR225,#+matric,,8,Cork Institute of Technology
199,Physical Sciences (Common Entry),CR305,282,,8,Cork Institute of Technology
200,IT Management,CR310,297,,8,Cork Institute of Technology
201,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,,8,Cork Institute of Technology
202,Pharmaceutical Biotechnology,CR325,398,,8,Cork Institute of Technology
203,Nutrition and Health Science,CR333,402,,8,Cork Institute of Technology
204,Biological Sciences (Common Entry),CR335,420,,8,Cork Institute of Technology
205,Analytical Chemistry with Quality Assurance,CR340,251,,8,Cork Institute of Technology
206,Instrument Engineering,CR360,261,,8,Cork Institute of Technology
207,Environmental Science and Sustainable Technology,CR365,253,,8,Cork Institute of Technology
208,Agri-Biosciences,CR370,397,,8,Cork Institute of Technology
209,Accounting,CR400,316,,8,Cork Institute of Technology
210,Marketing,CR420,285,,8,Cork Institute of Technology
211,International Business with Language,CR425,298,,8,Cork Institute of Technology
212,Sport and Exercise Management,CR430,322,,8,Cork Institute of Technology
213,Montessori Education,CR440,288,,8,Cork Institute of Technology
214,Engineering (Common Entry),CR500,411,,8,Cork Institute of Technology
215,Sustainable Energy Engineering,CR510,320,,8,Cork Institute of Technology
216,Biomedical Engineering,CR520,444,,8,Cork Institute of Technology
217,Architectural Technology,CR560,308,,8,Cork Institute of Technology
218,Interior Architecture,CR565,359,,8,Cork Institute of Technology
219,Quantity Surveying,CR570,336,,8,Cork Institute of Technology
220,Construction Management,CR572,269,,8,Cork Institute of Technology
221,Electrical Engineering,CR580,318,,8,Cork Institute of Technology
222,Electronic Engineering,CR590,303,,8,Cork Institute of Technology
223,Visual Communications,CR600,#+matric,,8,Cork Institute of Technology
229,Tourism Management,CR660,252,,8,Cork Institute of Technology
230,Theatre and Drama Studies at CIT Cork School of Music,CR700,740,645,8,Cork Institute of Technology
235,Information Technology,CT125,220,,8,CCT College Dublin
236,Business,CT325,338,,8,CCT College Dublin
238,Business (options),CW018,298,248,8,"Institute of Technology, Carlow"
240,Early Childhood Education and Care,CW028,252,,8,"Institute of Technology, Carlow"
242,Art (portfolio),CW038,700,,8,"Institute of Technology, Carlow"
245,Tourism and Event Management,CW058,298,,8,"Institute of Technology, Carlow"
246,Applied Social Studies in Professional Social Care,CW068,245,,8,"Institute of Technology, Carlow"
248,Sustainable Farm Management and Agribusiness,CW078,269,,8,"Institute of Technology, Carlow"
249,Visual Communications and Design,CW088,274,,8,"Institute of Technology, Carlow"
252,Science (options),CW108,261,,8,"Institute of Technology, Carlow"
256,Brewing and Distilling,CW128,263,,8,"Institute of Technology, Carlow"
257,Sport and Exercise Science,CW138,423,,8,"Institute of Technology, Carlow"
258,Strength and Conditioning,CW148,379,,8,"Institute of Technology, Carlow"
259,Sport Rehabilitation and Athletic Therapy,CW188,451,448,8,"Institute of Technology, Carlow"
262,Computer Games Development,CW208,279,,8,"Institute of Technology, Carlow"
266,Software Development,CW238,297,,8,"Institute of Technology, Carlow"
267,Information Technology Management,CW248,285,,8,"Institute of Technology, Carlow"
268,Cybercrime and IT Security,CW258,293,,8,"Institute of Technology, Carlow"
269,Computing in Interactive Digital Art and Design,CW268,287,,8,"Institute of Technology, Carlow"
273,Construction (options),CW438,272,,8,"Institute of Technology, Carlow"
274,Architectural Technology,CW468,262,,8,"Institute of Technology, Carlow"
275,Civil Engineering,CW478,433,,8,"Institute of Technology, Carlow"
280,Mechanical Engineering,CW548,321,,8,"Institute of Technology, Carlow"
281,Electronic Systems,CW558,280,,8,"Institute of Technology, Carlow"
282,Aerospace Engineering,CW568,380,,8,"Institute of Technology, Carlow"
283,TV and Media Production,CW578,325,,8,"Institute of Technology, Carlow"
286,Law - LLB,CW708,302,,8,"Institute of Technology, Carlow"
288,Product Design Innovation,CW728,252,,8,"Institute of Technology, Carlow"
289,Early Childhood Education and Care,CW748,270,,8,"Institute of Technology, Carlow"
290,Professional Social Care Practice,CW758,336,,8,"Institute of Technology, Carlow"
292,Media and Public Relations,CW808,251,,8,"Institute of Technology, Carlow"
296,Digital Marketing with Analytics,CW848,254,,8,"Institute of Technology, Carlow"
297,"Sports Management and Coaching (options, portfolio)",CW858,700,,8,"Institute of Technology, Carlow"
299,Business (options),CW908,280,,8,"Institute of Technology, Carlow"
303,Business with Law,CW938,283,,8,"Institute of Technology, Carlow"
304,Accounting,CW948,300,,8,"Institute of Technology, Carlow"
305,Computing,DB500,218,218,8,Dublin Business School
306,Computing (Cloud Computing),DB501,227,227,8,Dublin Business School
307,Computing (Data Analytics and Big Data),DB502,341,341,8,Dublin Business School
308,Computing (Software Development),DB503,225,225,8,Dublin Business School
309,Computing (Web and Mobile Technology),DB504,,281,8,Dublin Business School
310,Audio Production and Music Project Management,DB510,234,223,8,Dublin Business School
311,Business Studies,DB512,218,203,8,Dublin Business School
312,Business Studies (Law),DB514,252,,8,Dublin Business School
313,Business Studies (Human Resource Management),DB515,244,244,8,Dublin Business School
314,Financial Services,DB516,,,8,Dublin Business School
315,Marketing (Event Management),DB517,238,,8,Dublin Business School
316,Accounting and Finance,DB521,225,195,8,Dublin Business School
317,Business (Information Systems),DB524,342,309,8,Dublin Business School
318,Business (Cloud Computing),DB526,347,,8,Dublin Business School
319,Applied Social Care,DB527,234,260,8,Dublin Business School
321,Marketing,DB531,293,,8,Dublin Business School
323,Psychology,DB562,243,229,8,Dublin Business School
325,Social Science,DB566,220,227,8,Dublin Business School
326,Film and Creative Media,DB567,218,202,8,Dublin Business School
327,Law,DB568,219,252,8,Dublin Business School
328,Business (Psychology),DB569,252,,8,Dublin Business School
334,Education - Early Childhood Education,DC001,440,,8,Dublin City University
335,Education - Primary Teaching,DC002,488,,8,Dublin City University
336,Education - Primary Teaching - Gaeltacht Applicants,DC003,445,,8,Dublin City University
337,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,409,8,Dublin City University
338,Arts (Joint Honours) - Humanities,DC009,376,,8,Dublin City University
339,Post Primary Teacher Education - Religious Education and English,DC010,441,429,8,Dublin City University
340,Post Primary Teacher Education - Religious Education and History,DC011,412,391,8,Dublin City University
341,Post Primary Teacher Education - Religious Education and Music,DC012,378,,8,Dublin City University
342,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,,8,Dublin City University
343,BA in Jazz and Contemporary Music Performance (audition),DC014,419,,8,Dublin City University
