,title,code,pointsR1,pointsR2,HEI
148,Accounting,CR400,316,nan,Cork Institute of Technology
149,Marketing,CR420,285,nan,Cork Institute of Technology
150,International Business with Language,CR425,298,nan,Cork Institute of Technology
151,Sport and Exercise Management,CR430,322,nan,Cork Institute of Technology
152,Montessori Education,CR440,288,nan,Cork Institute of Technology
153,Engineering (Common Entry),CR500,411,nan,Cork Institute of Technology
154,Sustainable Energy Engineering,CR510,320,nan,Cork Institute of Technology
155,Biomedical Engineering,CR520,444,nan,Cork Institute of Technology
156,Architectural Technology,CR560,308,nan,Cork Institute of Technology
157,Interior Architecture,CR565,359,nan,Cork Institute of Technology
158,Quantity Surveying,CR570,336,nan,Cork Institute of Technology
159,Construction Management,CR572,269,nan,Cork Institute of Technology
160,Electrical Engineering,CR580,318,nan,Cork Institute of Technology
161,Electronic Engineering,CR590,303,nan,Cork Institute of Technology
162,Visual Communications,CR600,,nan,Cork Institute of Technology
163,Tourism Management,CR660,252,nan,Cork Institute of Technology
164,Theatre and Drama Studies at CIT Cork School of Music,CR700,740,645,Cork Institute of Technology
165,Information Technology,CT125,220,nan,CCT College Dublin
166,Business,CT325,338,nan,CCT College Dublin
167,Business (options),CW018,298,248,"Institute of Technology, Carlow"
168,Early Childhood Education and Care,CW028,252,nan,"Institute of Technology, Carlow"
169,Art (portfolio),CW038,700,nan,"Institute of Technology, Carlow"
170,Tourism and Event Management,CW058,298,nan,"Institute of Technology, Carlow"
171,Applied Social Studies in Professional Social Care,CW068,245,nan,"Institute of Technology, Carlow"
172,Sustainable Farm Management and Agribusiness,CW078,269,nan,"Institute of Technology, Carlow"
173,Visual Communications and Design,CW088,274,nan,"Institute of Technology, Carlow"
174,Science (options),CW108,261,nan,"Institute of Technology, Carlow"
175,Brewing and Distilling,CW128,263,nan,"Institute of Technology, Carlow"
176,Sport and Exercise Science,CW138,423,nan,"Institute of Technology, Carlow"
177,Strength and Conditioning,CW148,379,nan,"Institute of Technology, Carlow"
178,Sport Rehabilitation and Athletic Therapy,CW188,451,448,"Institute of Technology, Carlow"
179,Computer Games Development,CW208,279,nan,"Institute of Technology, Carlow"
180,Software Development,CW238,297,nan,"Institute of Technology, Carlow"
181,Information Technology Management,CW248,285,nan,"Institute of Technology, Carlow"
182,Cybercrime and IT Security,CW258,293,nan,"Institute of Technology, Carlow"
183,Computing in Interactive Digital Art and Design,CW268,287,nan,"Institute of Technology, Carlow"
184,Construction (options),CW438,272,nan,"Institute of Technology, Carlow"
185,Architectural Technology,CW468,262,nan,"Institute of Technology, Carlow"
186,Civil Engineering,CW478,433,nan,"Institute of Technology, Carlow"
187,Mechanical Engineering,CW548,321,nan,"Institute of Technology, Carlow"
188,Electronic Systems,CW558,280,nan,"Institute of Technology, Carlow"
189,Aerospace Engineering,CW568,380,nan,"Institute of Technology, Carlow"
190,TV and Media Production,CW578,325,nan,"Institute of Technology, Carlow"
191,Law - LLB,CW708,302,nan,"Institute of Technology, Carlow"
192,Product Design Innovation,CW728,252,nan,"Institute of Technology, Carlow"
193,Early Childhood Education and Care,CW748,270,nan,"Institute of Technology, Carlow"
194,Professional Social Care Practice,CW758,336,nan,"Institute of Technology, Carlow"
195,Media and Public Relations,CW808,251,nan,"Institute of Technology, Carlow"
