,title,code,pointsR1,pointsR2,HEI
806,Mental Health Nursing,TR095,408,nan,Trinity College Dublin
807,Intellectual Disability Nursing,TR097,396,nan,Trinity College Dublin
808,Ancient History and Archaeology/Geography,TR111,352,nan,Trinity College Dublin
809,Ancient History and Archaeology/History,TR112,529,nan,Trinity College Dublin
810,Ancient History and Archaeology/History of Art and Architecture,TR113,337,nan,Trinity College Dublin
811,Ancient History and Archaeology/Modern Language,TR114,337,nan,Trinity College Dublin
812,Ancient History and Archaeology/Religion,TR117,342,nan,Trinity College Dublin
813,Classical Civilisation/English Literature,TR166,498,496,Trinity College Dublin
814,Classical Civilisation/History of Art and Architecture,TR173,335,nan,Trinity College Dublin
815,Classical Civilisation/Modern Language,TR177,335,nan,Trinity College Dublin
816,Classical Civilisation/Philosophy,TR179,499,nan,Trinity College Dublin
817,Economics/Geography,TR198,534,nan,Trinity College Dublin
818,Economics/History,TR202,534,nan,Trinity College Dublin
819,Economics/Mathematics,TR207,566,nan,Trinity College Dublin
820,Economics/Modern Language,TR208,534,nan,Trinity College Dublin
821,Economics/Philosophy,TR209,534,nan,Trinity College Dublin
822,Economics/Sociology,TR212,534,nan,Trinity College Dublin
823,Classical Languages/English Literature,TR228,498,nan,Trinity College Dublin
824,Classical Languages/History of Art and Architecture,TR231,349,nan,Trinity College Dublin
825,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,nan,Trinity College Dublin
826,Classical Languages/Modern Language,TR239,349,nan,Trinity College Dublin
827,English Literature/History,TR262,529,nan,Trinity College Dublin
828,English Literature/History of Art and Architecture,TR263,498,497,Trinity College Dublin
829,English Literature/Philosophy,TR269,499,nan,Trinity College Dublin
830,English Literature/Sociology,TR272,498,nan,Trinity College Dublin
831,English Literature/Drama Studies,TR276,498,nan,Trinity College Dublin
832,English Literature/Modern Language,TR277,498,495,Trinity College Dublin
833,Film/Drama Studies,TR311,521,nan,Trinity College Dublin
834,Film/English Literature,TR312,521,nan,Trinity College Dublin
835,Film/Music,TR320,521,nan,Trinity College Dublin
836,Geography/History,TR322,529,nan,Trinity College Dublin
837,Drama Studies/Modern Language,TR323,473,nan,Trinity College Dublin
838,Film/Modern Language,TR324,521,nan,Trinity College Dublin
839,Film/History,TR325,529,nan,Trinity College Dublin
840,Geography/Modern Language,TR326,352,nan,Trinity College Dublin
841,Geography/Sociology,TR332,498,496,Trinity College Dublin
842,History/History of Art and Architecture,TR443,529,nan,Trinity College Dublin
843,History/Modern Language,TR447,529,nan,Trinity College Dublin
844,History/Philosophy,TR449,529,nan,Trinity College Dublin
845,History/Sociology,TR452,529,nan,Trinity College Dublin
846,History/Religion,TR454,529,nan,Trinity College Dublin
847,History of Art and Architecture/Modern Language,TR455,334,nan,Trinity College Dublin
848,History of Art and Architecture/Philosophy,TR479,499,nan,Trinity College Dublin
849,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,nan,Trinity College Dublin
850,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,nan,Trinity College Dublin
851,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,nan,Trinity College Dublin
852,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,nan,Trinity College Dublin
853,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,nan,nan,Trinity College Dublin
854,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,nan,Trinity College Dublin
855,Mathematics/Modern Language,TR597,566,nan,Trinity College Dublin
856,Mathematics/Music,TR598,566,nan,Trinity College Dublin
857,Mathematics/Philosophy,TR599,566,nan,Trinity College Dublin
858,Music/Philosophy,TR629,499,nan,Trinity College Dublin
859,Music/Drama Studies,TR635,473,nan,Trinity College Dublin
860,Music/Modern Language,TR636,388,nan,Trinity College Dublin
861,Music/Religion,TR638,388,nan,Trinity College Dublin
862,Philosophy/Modern Language,TR639,499,nan,Trinity College Dublin
863,Philosophy/Sociology,TR662,499,nan,Trinity College Dublin
864,Religion/Classical Civilisation,TR663,342,nan,Trinity College Dublin
865,Religion/English Literature,TR664,498,nan,Trinity College Dublin
866,Religion/History of Art and Architecture,TR665,342,nan,Trinity College Dublin
867,Religion/Modern Language,TR666,nan,nan,Trinity College Dublin
868,French/Modern Language,TR667,403,nan,Trinity College Dublin
869,German/Modern Language,TR668,389,nan,Trinity College Dublin
870,Irish/Modern Language,TR669,368,nan,Trinity College Dublin
871,Italian/Modern Language,TR670,381,nan,Trinity College Dublin
872,Russian/Modern Language,TR671,332,nan,Trinity College Dublin
873,Spanish/Modern Language,TR672,336,nan,Trinity College Dublin
874,Sociology/Drama Studies,TR755,498,nan,Trinity College Dublin
875,Sociology/Modern Language,TR756,498,495,Trinity College Dublin
876,Children`s and General Nursing (Integrated),TR911,511,510,Trinity College Dublin
877,Midwifery,TR913,478,477,Trinity College Dublin
878,Biomedical Design,TU801,235,nan,Technological University Dublin
879,Electrical Services and Energy Management,TU802,317,300,Technological University Dublin
880,Electronic Engineering,TU803,243,243,Technological University Dublin
881,Engineering (Common Entry with Award options),TU804,271,nan,Technological University Dublin
882,Engineering (General Entry),TU805,402,nan,Technological University Dublin
883,Sustainable Energy Engineering,TU806,262,nan,Technological University Dublin
884,Computer Engineering in Mobile Systems,TU807,276,nan,Technological University Dublin
885,Engineering Software,TU808,260,260,Technological University Dublin
886,Mechanical Engineering,TU809,235,nan,Technological University Dublin
887,Mechatronic Engineering,TU810,270,nan,Technological University Dublin
888,Product Design,TU811,411,nan,Technological University Dublin
889,"Design,Technology and Innovation",TU812,270,nan,Technological University Dublin
890,Automation Engineering,TU813,218,218,Technological University Dublin
891,Transport Operations and Technology,TU814,285,251,Technological University Dublin
892,Architectural Technology,TU831,410,nan,Technological University Dublin
893,Architecture (Suitability Test and Interview),TU832,622,nan,Technological University Dublin
894,Construction Management,TU833,367,nan,Technological University Dublin
895,Geographic Science,TU834,288,nan,Technological University Dublin
896,Planning and Environmental Management,TU835,313,nan,Technological University Dublin
897,Property Economics (Valuation Surveying),TU836,401,nan,Technological University Dublin
898,Quantity Surveying and Construction Economics,TU837,385,nan,Technological University Dublin
899,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,nan,Technological University Dublin
900,Chemical Sciences with Medicinal Chemistry,TU852,476,nan,Technological University Dublin
901,Science (General Entry),TU854,476,nan,Technological University Dublin
902,Science with Nanotechnology,TU855,331,319,Technological University Dublin
903,Computer Science,TU856,476,nan,Technological University Dublin
904,Computer Science (Infrastructure),TU857,391,nan,Technological University Dublin
905,Computer Science (International),TU858,377,nan,Technological University Dublin
906,Computing,TU859,217,234,Technological University Dublin
907,Computing (Information Technology),TU860,260,nan,Technological University Dublin
908,Computing with Language (French/German/Spanish),TU861,308,308,Technological University Dublin
909,Computing with Data Analytics,TU862,226,226,Technological University Dublin
910,Digital Forensics and Cyber Security,TU863,280,nan,Technological University Dublin
911,DNA and Forensic Analysis,TU864,400,390,Technological University Dublin
912,Computing with IT Management,TU865,226,nan,Technological University Dublin
913,Biomedical and Molecular Diagnostics,TU866,487,nan,Technological University Dublin
914,Biomedical Science,TU867,524,nan,Technological University Dublin
915,Clinical Measurement Science,TU868,510,nan,Technological University Dublin
916,Environmental Health,TU869,336,nan,Technological University Dublin
917,Human Nutrition and Dietetics,TU870,578,nan,Technological University Dublin
918,Optometry,TU871,509,nan,Technological University Dublin
919,Public Health Nutrition,TU872,491,nan,Technological University Dublin
920,Industrial Mathematics,TU873,250,250,Technological University Dublin
921,Mathematical Sciences,TU874,341,nan,Technological University Dublin
922,Pharmaceutical Healthcare,TU875,400,nan,Technological University Dublin
923,Pharmaceutical Science,TU876,377,349,Technological University Dublin
924,Physics Technology,TU877,308,nan,Technological University Dublin
925,Physics with Energy and Environment,TU878,337,337,Technological University Dublin
926,Physics with Medical Physics and Bioengineering,TU879,351,nan,Technological University Dublin
927,Physics with Data Science,TU880,578,nan,Technological University Dublin
928,Food Innovation,TU881,318,nan,Technological University Dublin
929,Nutraceuticals in Health and Nutrition,TU882,397,nan,Technological University Dublin
930,Business,TU901,270,nan,Technological University Dublin
931,Business (Common Entry with Award options),TU902,271,nan,Technological University Dublin
932,Business and Management,TU903,463,nan,Technological University Dublin
933,Business and Law,TU904,462,nan,Technological University Dublin
934,Economics and Finance,TU905,465,nan,Technological University Dublin
935,Human Resource Management,TU906,395,nan,Technological University Dublin
936,Logistics and Supply Chain Management,TU907,300,nan,Technological University Dublin
937,Management,TU908,262,253,Technological University Dublin
938,Accounting and Finance,TU909,285,nan,Technological University Dublin
939,Accounting and Finance,TU910,444,nan,Technological University Dublin
940,Accounting and Finance,TU911,209,192,Technological University Dublin
941,Business Analytics,TU912,330,nan,Technological University Dublin
942,Business and Information Technology,TU913,252,nan,Technological University Dublin
943,Business Computing,TU914,324,nan,Technological University Dublin
944,International Business,TU915,252,nan,Technological University Dublin
945,International Business,TU916,235,235,Technological University Dublin
946,Law (LLB ) with a Language,TU917,342,nan,Technological University Dublin
947,Law (LLB),TU918,451,nan,Technological University Dublin
948,Advertising and Marketing Communications,TU919,228,226,Technological University Dublin
949,Digital Marketing,TU920,270,nan,Technological University Dublin
950,Digital Marketing Technologies,TU921,212,212,Technological University Dublin
951,Marketing,TU922,418,nan,Technological University Dublin
952,Marketing Management,TU923,228,276,Technological University Dublin
953,E-Commerce in Retailing,TU924,307,nan,Technological University Dublin
954,Retail and Services Management,TU925,301,nan,Technological University Dublin
955,Sports Management and Coaching,TU935,300,nan,Technological University Dublin
956,Sports Science and Health,TU936,410,391,Technological University Dublin
957,Botanical Cuisine,TU941,249,nan,Technological University Dublin
958,Culinary Arts,TU942,212,212,Technological University Dublin
959,Culinary Entrepreneurship,TU943,278,nan,Technological University Dublin
960,Culinary Science,TU944,316,nan,Technological University Dublin
961,International Hospitality and Tourism Management,TU951,184,184,Technological University Dublin
962,International Hospitality Management,TU952,300,nan,Technological University Dublin
963,Tourism and Digital Marketing,TU953,290,nan,Technological University Dublin
964,Event Management,TU954,356,nan,Technological University Dublin
965,Sports & Leisure Management,TU955,217,317,Technological University Dublin
966,Commercial Modern Music,TU961,608,608,Technological University Dublin
967,Drama (Performance),TU962,379,nan,Technological University Dublin
968,Music,TU963,416,nan,Technological University Dublin
969,International Business and Languages,TU965,356,346,Technological University Dublin
970,Languages and English Studies,TU966,366,nan,Technological University Dublin
971,Languages and International Tourism,TU967,308,nan,Technological University Dublin
972,Contemporary Visual Culture,TU971,290,nan,Technological University Dublin
973,Creative and Cultural Industries,TU972,281,nan,Technological University Dublin
974,Design - Visual Communication,TU973,717,nan,Technological University Dublin
975,Fine Art,TU974,709,563,Technological University Dublin
976,Interior Design,TU975,632,nan,Technological University Dublin
977,Photography,TU976,695,nan,Technological University Dublin
978,Creative Digital Media,TU981,280,nan,Technological University Dublin
979,Creative Digital Media,TU982,320,311,Technological University Dublin
980,Film and Broadcasting,TU983,456,451,Technological University Dublin
981,Game Design,TU984,381,nan,Technological University Dublin
982,Journalism,TU985,322,nan,Technological University Dublin
983,Print Media Technology and Management,TU986,289,nan,Technological University Dublin
984,Applied Social Studies in Social Care,TU991,325,nan,Technological University Dublin
985,Community and Youth Development,TU992,251,nan,Technological University Dublin
986,Early Childhood Care and Education,TU993,270,nan,Technological University Dublin
987,Early Childhood Care and Education,TU994,321,251,Technological University Dublin
988,Early Childhood Education,TU995,367,nan,Technological University Dublin
989,Social Care,TU996,400,nan,Technological University Dublin
990,Applied Social Care,TU997,310,283,Technological University Dublin
991,Applied Computing (options),WD001,260,260,Waterford Institute of Technology
992,Science (options),WD002,308,nan,Waterford Institute of Technology
993,Health Sciences (options),WD005,280,nan,Waterford Institute of Technology
994,Exercise Sciences (options),WD006,280,nan,Waterford Institute of Technology
995,Engineering (options),WD007,288,288,Waterford Institute of Technology
996,Construction Management and Engineering,WD025,269,nan,Waterford Institute of Technology
997,Music,WD027,262,nan,Waterford Institute of Technology
998,Business (options),WD048,271,nan,Waterford Institute of Technology
999,Accounting,WD084,308,nan,Waterford Institute of Technology
1000,Hospitality Management,WD091,228,nan,Waterford Institute of Technology
1001,General Nursing,WD116,422,nan,Waterford Institute of Technology
1002,Psychiatric Nursing,WD117,366,nan,Waterford Institute of Technology
1003,Intellectual Disability Nursing,WD120,377,nan,Waterford Institute of Technology
1004,International Business,WD134,290,nan,Waterford Institute of Technology
1005,Design (Visual Communications),WD137,271,nan,Waterford Institute of Technology
1006,Laws,WD140,280,nan,Waterford Institute of Technology
1007,Architecture,WD144,284,nan,Waterford Institute of Technology
1008,Pharmaceutical Science,WD147,293,nan,Waterford Institute of Technology
1009,Early Childhood Studies,WD149,271,nan,Waterford Institute of Technology
1010,Criminal Justice Studies,WD150,270,nan,Waterford Institute of Technology
1011,Visual Art,WD152,AQA,nan,Waterford Institute of Technology
1012,Computer Forensics and Security,WD161,255,nan,Waterford Institute of Technology
1013,Quantity Surveying,WD162,216,nan,Waterford Institute of Technology
1014,Psychology,WD163,434,nan,Waterford Institute of Technology
1015,Sports Coaching and Performance,WD186,270,nan,Waterford Institute of Technology
1016,Social Science,WD187,272,nan,Waterford Institute of Technology
1017,Agricultural Science,WD191,377,nan,Waterford Institute of Technology
1018,Social Care Practice,WD192,270,nan,Waterford Institute of Technology
1019,Marketing and Digital Media,WD193,271,nan,Waterford Institute of Technology
1020,Culinary Arts,WD194,217,nan,Waterford Institute of Technology
1021,Architectural and Building Information Modelling Technology,WD195,279,nan,Waterford Institute of Technology
1022,Arts (options),WD200,AQA,AQA,Waterford Institute of Technology
1023,Software Systems Development,WD210,279,nan,Waterford Institute of Technology
1024,Creative Computing,WD211,271,nan,Waterford Institute of Technology
1025,Recreation and Sport Management,WD212,270,nan,Waterford Institute of Technology
1026,Mechanical and Manufacturing Engineering,WD230,253,nan,Waterford Institute of Technology
