,title,code,pointsR1,pointsR2
355,Radiography,DN410,534,532
356,Radiography - Graduate Entry,DN411,nan,nan
357,Physiotherapy,DN420,578,577
358,Health and Performance Science,DN425,510,509
359,Sport and Exercise Management,DN430,455,445
360,"Biomedical, Health and Life Sciences",DN440,590,589
361,General Nursing,DN450,429,424
362,Children`s and General Nursing (Integrated),DN451,509,506
363,Midwifery,DN452,489,476
364,Mental Health Nursing,DN453,397,393
365,Joint Honours (options),DN520,310,nan
366,Humanities (options),DN530,340,336
367,Modern Languages (options),DN541,303,nan
368,Law (options),DN600,546,544
369,Business and Law,DN610,545,nan
370,Commerce,DN650,521,521
371,Commerce International (options),DN660,517,511
372,Economics and Finance,DN670,613,nan
373,Social Sciences (options),DN700,421,419
374,Economics,DN710,498,498
375,Psychology,DN720,530,522
376,Social Policy and Sociology,DN750,378,nan
377,Accounting,GA181,309,nan
378,Business,GA182,287,nan
379,Business Information Systems,GA183,296,nan
380,Marketing and Sales,GA184,307,nan
381,Finance and Economics,GA185,293,nan
382,Business with Entrepreneurship,GA186,280,nan
383,Rural Enterprise and Agri-Business,GA187,281,nan
384,Film and Documentary,GA281,304,nan
385,Heritage Studies,GA282,220,nan
386,Contemporary Art,GA283,679,nan
387,Design,GA284,303,nan
388,"Education (Art, Design and Graphics)",GA285,nan,nan
389,International Hotel Management,GA380,242,nan
390,International Tourism Management,GA381,278,nan
391,Culinary and Gastronomic Science,GA382,206,nan
392,Event Management with Public Relations,GA384,212,nan
393,Construction Management,GA480,260,nan
394,Quantity Surveying and Construction Economics,GA482,288,nan
395,Architectural Technology,GA483,265,nan
396,Civil Engineering,GA484,290,nan
397,Software and Electronic Engineering,GA580,300,nan
398,Mechanical Engineering,GA680,330,nan
399,Energy Engineering,GA681,293,nan
400,Biomedical Engineering,GA682,313,nan
401,Agricultural Engineering,GA683,309,nan
402,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,nan
403,Manufacturing Engineering Design,GA685,309,nan
404,Applied Freshwater and Marine Biology,GA780,327,nan
405,Applied Biology and Biopharmaceutical Science,GA781,337,nan
406,Chemical and Pharmaceutical Science,GA782,336,nan
407,Physics and Instrumentation,GA783,363,nan
408,Science (Undenominated),GA784,372,nan
409,Medical Science,GA785,473,nan
410,Forensic Science and Analysis,GA786,317,nan
411,Computing in Software Development,GA787,270,nan
412,Computing and Digital Media,GA788,274,nan
413,Agriculture and Environmental Management,GA789,287,nan
414,Sport and Exercise Science,GA790,356,nan
415,Public Health Nutrition,GA791,368,nan
416,General Nursing,GA880,429,422
417,Psychiatric Nursing,GA882,367,nan
418,Outdoor Education,GA885,252,nan
419,History and Geography,GA887,244,nan
420,Applied Social Care,GA889,266,nan
421,Early Childhood Education and Care,GA890,270,nan
422,Geography and Outdoor Education,GA891,244,nan
423,Education (Design Graphics and Construction),GA980,377,nan
424,"Furniture Design, Making and Technology - Common Entry",GA984,284,nan
425,Business Studies,GC200,252,252
426,Accounting and Finance,GC201,303,303
427,Computing Science,GC230,335,325
428,Communications and Media Production,GC250,nan,nan
429,Business Studies,GC300,429,nan
430,Accounting & Finance,GC301,253,253
431,Business Studies - HRM,GC302,nan,nan
432,International Hospitality Management,GC305,253,253
433,Business Studies,GC400,248,248
434,Accounting and Finance,GC401,240,227
435,Business Studies (HRM),GC402,264,236
436,Law,GC403,244,228
437,Business Studies (Marketing),GC407,280,280
438,Computing Science,GC430,252,220
439,Communications and Media Production,GC450,254,254
440,Design Communication (portfolio),GC462,nan,nan
441,Interior Architecture (portfolio),GC489,254,nan
442,Fashion Design (portfolio),GC494,337,217
443,Arts (Joint-Honours),GY101,300,nan
444,Arts (Psychology),GY104,523,520
445,Arts (History),GY105,301,nan
