,code,title,EOS,Mid
43,DC197,Biomedical Engineering,402,446
44,DC200,Common Entry into Engineering (Undenominated Entry),381,444
45,DC201,Common Entry into Science (Undenominated Entry),454,477
46,DC202,Sport Science and Health,467,476
47,DC203,Science Education,424,476
48,DC204,Athletic Therapy and Training,484,500
49,DC205,Physical Education with Biology,490,521
50,DC206,Physical Education with Mathematics,443,476
51,DC208,Psychology,509,521
52,DC209,Health and Society,419,440
53,DC215,General Nursing,414,443
54,DC216,Mental Health Nursing,368,389
2,DC230,"Economics, Politics and Law",400,431
3,DC231,International Relations,387,445
4,DC232,Law and Society (BCL),453,487
5,DC235,Education and Training - Daytime Delivery Mode (full-time),307,327
6,DC238,Social Sciences and Cultural Innovation,358,388
7,DC240,"Marketing, Innovation and Technology",451,474
8,DC291,Arts (Joint Honours) - Media Studies,349,392
9,DC292,Arts (Joint Honours) - Law,356,388
10,DC293,Arts (Joint Honours) - International Languages,369,400
11,DC295,Arts (Joint Honours) - Politics,348,387
12,,Technological University Dublin City Campus,,
13,DT001,Product Design,433,464
14,DT028,Transport Operations and Technology,279,348
15,DT035,Electrical Services and Energy Management,293,340
16,DT066,Engineering (General Entry),400,457
17,DT101,Architecture (test and interview),#618,647
18,DT106,Planning and Environmental Management,312,337
19,DT110,Property Economics (Valuation Surveying),367,424
20,DT111,Quantity Surveying and Construction Economics,391,421
21,DT112,Geographic Science,287,335
22,DT117,Construction Management,356,373
23,DT175,Architectural Technology,388,425
24,DT201,Science (General Entry),464,477
25,DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403
26,DT204,Biomedical Science,501,512
27,DT205,Mathematical Sciences,315,363
28,DT206,Biomedical and Molecular Diagnostics,473,487
29,DT211,Computer Science (Infrastructure),381,414
30,DT220,Industrial Mathematics,300,317
31,DT221,Physics with Energy and Environment,348,436
32,DT222,Physics Technology,321,371
33,DT223,Human Nutrition and Dietetics,553,566
34,DT224,Optometry,487,529
35,DT225,Public Health Nutrition,440,476
36,DT227,Science with Nanotechnology,312,361
37,DT228,Computer Science,451,466
38,DT229,Clinical Measurement Science,491,509
39,DT235,Physics with Medical Physics and Bioengineering,357,403
40,DT282,Computer Science (International),377,402
41,DT299,Chemical Sciences with Medicinal Chemistry,420,445
42,DT302,Business Analytics,325,403
43,DT304,E-Commerce in Retailing,341,388
44,DT321,Business and Law,462,478
45,DT341,Marketing,400,419
46,DT343,Retail and Services Management,301,332
47,DT354,Business Computing,322,341
48,DT358,Logistics and Supply Chain Management,300,359
49,DT365,Business and Management,440,456
50,DT366,Accounting and Finance,432,454
51,DT398,Human Resource Management,375,388
52,DT399,Economics and Finance,437,465
53,DT401,International Hospitality Management,300,337
54,DT405,Culinary Science,308,377
2,DT413,Event Management,356,389
3,DT416,Culinary Entrepreneurship,275,339
4,DT420,Nutraceuticals in Health and Nutrition,392,432
5,DT421,Food Innovation,321,366
6,DT422,Pharmaceutical Healthcare,397,423
7,DT491,Environmental Health,343,380
8,DT501,Music,#383,520
9,DT504,Film and Broadcasting,443,467
10,DT506,Commercial Modern Music,#468,835
11,DT508,Game Design,403,454
12,DT517,Languages and English Studies,326,419
13,DT518,Languages and International Tourism,307,357
14,DT529,Drama (Performance),#371,519
15,DT532,Law (LL.B.),422,441
16,DT533,Contemporary Visual Culture,#,
17,DT544,Interior Design,#552,866
18,DT545,Design - Visual Communication,#667,897
19,DT546,Fine Art,#668,813
20,DT555,International Business and Languages,353,399
21,DT559,Photography,#700,926
22,DT571,Social Care,394,424
23,DT572,Early Childhood Education,385,403
24,DT582,Journalism,347,373
25,DT596,Print Media Technology and Management,252,311
26,DT597,Creative and Cultural Industries,280,369
27,,"Dun Laoghaire Institute of Art, Design and Technology",,
28,DL821,"English, Media and Cultural Studies",211,317
29,DL822,Arts Management,209,319
30,DL823,Business Studies - Entrepreneurship and Management,260,316
31,DL825,Applied Psychology,349,413
32,DL826,Visual Communication Design,#736,989
33,DL827,Art,#583,902
34,DL828,"3D Design, Modelmaking and Digital Art",#691,866
35,DL829,Design for Stage and Screen (Costume Design),#817,1021
36,DL830,Design for Stage and Screen (Makeup Design),#879,953
37,DL831,Design for Stage and Screen (Production Design),#893,1073
38,DL832,Animation,#855,1055
39,DL833,Photography,#636,791
40,DL834,Film and Television Production,#933,1011
41,DL835,Creative Media Technologies,237,289
42,DL836,Creative Computing,217,326
43,DL837,New Media Studies,290,349
44,DL838,Creative Music Production,#746,873
45,,Griffith College,,
46,GC200,Business Studies (Cork),269,359
47,GC201,Accounting and Finance (Cork),251,388
48,GC230,Computing Science (Cork),228,327
49,GC300,Business Studies (Limerick),251,302
50,GC301,Accounting and Finance,307,314
51,GC302,"Business Studies - (HRM, Limerick)",269,269
52,GC305,International Hospitality Management (Limerick),327,327
53,GC400,Business Studies (Dublin),246,297
54,GC401,Accounting and Finance (Dublin),181,309
2,GC405,International Hospitality Management (Dublin),254,272
3,GC407,"Business Studies (Marketing, Dublin)",246,330
4,GC430,Computing Science (Dublin),217,269
5,GC450,Journalism and Visual Media (Dublin),227,307
6,GC462,Design Communication (Dublin),,
7,GC489,Interior Architecture (Dublin),#267,361
8,GC494,Fashion Design (Dublin),#,
9,,ICD Business School,,
10,ID001,Accounting and Finance,229,291
11,ID002,Business Studies,285,366
12,ID003,Business Studies with Chinese,,
13,,Technological University Dublin Blanchardstown Campus,,
14,BN101,Business,252,289
15,BN103,Business and Information Technology,254,290
16,BN104,Computing (Information Technology),260,293
17,BN107,Applied Social Studies in Social Care,300,328
18,BN108,Engineering (Common Entry with Award options),271,318
19,BN109,Business (Common Entry with Award options),260,279
20,BN110,International Business,253,308
21,BN111,Sports Management and Coaching,270,298
22,BN112,Creative Digital Media,280,329
23,BN113,Horticulture,289,321
24,BN114,Accounting and Finance,280,332
25,BN115,Community and Youth Development,250,298
26,BN117,Computer Engineering in Mobile Systems,273,311
27,BN118,Early Childhood Care and Education,290,320
28,BN119,Digital Marketing,270,308
29,BN120,Digital Forensics and Cyber Security,281,326
30,BN121,Mechatronic Engineering,276,340
31,BN123,"Design,Technology and Innovation",297,318
32,,Technological University Dublin Tallaght Campus,,
33,TA022,Creative Digital Media,260,318
34,TA023,Advertising and Marketing Communications,235,299
35,TA024,Early Childhood Care and Education,217,307
36,TA025,Social Care Practice,261,297
37,TA026,International Hospitality and Tourism Management,208,269
38,TA027,Botanical Cuisine,236,273
39,TA028,Digital Marketing Technologies,220,313
40,TA121,Accounting and Finance,202,328
41,TA122,Management,218,297
42,TA123,Marketing Management,207,284
43,TA125,International Business,229,300
44,TA221,Electronic Engineering,251,321
45,TA222,Mechanical Engineering,243,302
46,TA223,Sustainable Energy Engineering,236,305
47,TA224,Biomedical Design,218,324
48,TA225,Automation Engineering,235,288
49,TA226,Engineering Software,243,304
50,TA321,Pharmaceutical Science,261,298
51,TA322,Computing,200,294
52,TA323,Computing with IT Management,243,309
53,TA326,DNA and Forensic Analysis,300,362
54,TA327,Sports Science and Health,341,381
2,,National College of Art and Design,,
3,AD101,First Year Art & Design (Common Entry),# +matric 550,
4,AD102,Graphic Design and Moving Image Design,# +matric 635,
5,AD103,Textile & Surface Design and Jewellery & Objects,# +matric 545,
6,AD202,Education & Design or Fine Art (Second Level Teaching),# +matric 580,
7,AD204,Fine Art,# +matric 600,
8,AD211,Fashion Design,# +matric 600,
9,AD212,Product Design,# +matric 600,
10,AD215,Visual Culture,300,338
11,AD217,Illustration,# +matric 625,
12,AD222,Interaction Design,# +matric 657,
13,,National College of Ireland (NCI),,
14,NC003,Computing (Degree Award options),261,316
15,NC005,Human Resource Management,297,320
16,NC009,Business,297,339
17,NC010,Psychology,366,399
18,NC020,Marketing Practice,270,307
19,NC022,Accounting and Finance,338,376
20,NC023,Technology Management (with specialisations),260,303
21,NC025,Data Science,297,371
22,,Royal College of Surgeons in Ireland,,
23,RC001,Medicine - Undergraduate Entry (HPAT required),#729,733
24,RC004,Physiotherapy,532*,542
25,RC005,Pharmacy,555,566
26,RC101,Medicine - Graduate Entry (GAMSAT required),#60,62
27,,Trinity College Dublin,,
